mac,frequency,ssid,signalDBM,signalAvgDBM
4c:9e:ff:8e:2b:67,2412,TECHBOARDGROUP,196,196
4e:67:ff:8e:2b:68,2412,HIPERT,194,194
4e:67:ff:8e:2b:69,2412,VST,192,192
4e:67:ff:8e:2b:6a,2412,SUSTENIE,194,194
4e:67:ff:8e:2b:6b,2412,HANDHY,193,193
4e:67:ff:8e:2b:6c,2412,OPEN ENERGY,193,193
4c:9e:ff:83:94:65,2412,TECHBOARDGROUP,205,205
4e:65:ff:83:94:66,2412,HIPERT,203,203
4e:65:ff:83:94:67,2412,VST,204,204
4e:67:ff:8e:2b:6d,2412,IDEATIVA,192,192
4e:65:ff:83:94:68,2412,SUSTENIE,204,204
4e:65:ff:83:94:69,2412,HANDHY,204,204
4e:65:ff:83:94:6a,2412,OPEN ENERGY,204,204
4c:9e:ff:83:95:3a,2437,TECHBOARDGROUP,188,188
4e:3a:ff:83:95:3b,2437,HIPERT,189,189
34:60:f9:2a:4:af,2462,hipert-wifi,208,208
36:60:f9:2a:4:af,2462,,203,203
20:97:27:8:52:21,5200,hipert-wifi-pro-5,190,190
4e:3b:ff:83:95:3f,5200,HANDHY,172,172
34:60:f9:2a:4:ae,5220,hipert-wifi,210,210
4e:68:ff:8e:2b:69,5240,HIPERT,182,182
4e:68:ff:8e:2b:6a,5240,VST,182,182
4e:68:ff:8e:2b:6b,5240,SUSTENIE,197,197
4e:68:ff:8e:2b:6c,5240,HANDHY,181,181
4e:68:ff:8e:2b:6d,5240,OPEN ENERGY,184,184
4c:9e:ff:8e:2b:68,5240,TECHBOARDGROUP,183,183
4e:68:ff:8e:2b:6e,5240,IDEATIVA,182,182
fa:e8:c2:1:12:30,5745,Mi 11 Lite 5G,179,179
b0:4e:26:64:50:82,5200,vst-mac_5G,201,201
4e:65:ff:83:94:6b,2412,IDEATIVA,204,204
36:60:f9:2a:4:ae,5220,,211,211
4e:3b:ff:83:95:31,5200,IDEATIVA,173,173
4e:3a:ff:83:95:3c,2437,VST,202,202
4e:3a:ff:83:95:30,2437,IDEATIVA,192,192
b0:4e:26:64:50:83,2412,vst-mac,196,196
b6:4e:26:64:50:84,2412,VST-ButterfLife,196,196
4c:9e:ff:8e:2b:eb,2412,TECHBOARDGROUP,186,186
4e:eb:ff:8e:2b:ec,2412,HIPERT,185,185
4e:eb:ff:8e:2b:ed,2412,VST,185,185
e4:b3:18:e8:78:3a,2462,CARE-TB-15106e798aa44361,203,203
fa:d0:27:3c:69:38,2412,DIRECT-273CE938,192,192
a4:34:d9:9f:f0:29,2462,CARE-TB-51b6269178ed47c1,192,192
4c:9e:ff:8e:2b:ec,5200,TECHBOARDGROUP,172,172
b6:4e:26:64:50:83,5200,VST-ButterfLife-5G,201,201
4e:eb:ff:8e:2b:ef,2412,HANDHY,189,189
4e:eb:ff:8e:2b:e1,2412,IDEATIVA,188,188
4e:eb:ff:8e:2b:e0,2412,OPEN ENERGY,190,190
f4:b3:1:6d:d1:a7,2462,CARE-TB-2dbc348a4f7c4b7b,193,193
4e:ec:ff:8e:2b:e0,5200,HANDHY,189,189
4e:eb:ff:8e:2b:ee,2412,SUSTENIE,191,191
4e:3a:ff:83:95:3f,2437,OPEN ENERGY,193,193
4e:3b:ff:83:95:3c,5200,HIPERT,183,183
4e:3b:ff:83:95:3d,5200,VST,184,184
4e:3b:ff:83:95:3e,5200,SUSTENIE,173,173
4e:3a:ff:83:95:3e,2437,HANDHY,193,193
28:87:ba:31:ee:d8,2462,hipert-wifi,193,193
2a:87:ba:21:ee:d8,2462,,190,190
28:87:ba:31:ee:d9,5220,hipert-wifi,179,179
20:97:27:8:52:20,2437,hipert-wifi-pro,212,212
2a:87:ba:51:ee:d8,5220,,180,180
4c:9e:ff:83:95:3b,5200,TECHBOARDGROUP,182,182
4e:3b:ff:83:95:30,5200,OPEN ENERGY,172,172
54:af:97:df:76:eb,5220,hipert-wifi,171,171
d8:ec:e5:78:81:ed,2437,Interdamo,186,186
4e:ec:ff:8e:2b:ee,5200,VST,183,183
4e:ec:ff:8e:2b:ef,5200,SUSTENIE,184,184
4e:ec:ff:8e:2b:e1,5200,OPEN ENERGY,184,184
4e:ec:ff:8e:2b:e2,5200,IDEATIVA,184,184
4c:9e:ff:83:95:47,5220,TECHBOARDGROUP,170,170
4e:47:ff:83:95:48,5220,HIPERT,170,170
4e:47:ff:83:95:49,5220,VST,171,171
4e:47:ff:83:95:4a,5220,SUSTENIE,171,171
4e:47:ff:83:95:4b,5220,HANDHY,169,169
4e:47:ff:83:95:4c,5220,OPEN ENERGY,171,171
4e:47:ff:83:95:4d,5220,IDEATIVA,170,170
