SSID,MAC,X,Y,Z,Covariance
CARE-TB-15106e798aa44361,e4:b3:18:e8:78:3a,-8.140089992585303,-13.821386186726295,0.7309362085228764,"[5.891768872403918, 1.863892265345876, -0.20419233202554513, 1.863892265345876, 11.748275353171062, 0.09003777619385972, -0.20419233202554515, 0.09003777619385976, 0.009799831872495257]"
CARE-TB-2dbc348a4f7c4b7b,f4:b3:1:6d:d1:a7,-6.518429152375279,-14.543909439111378,0.6535800159568007,"[7.000720800446364, -1.7023443451623252, -0.2715946658155452, -1.7023443451623252, 17.84417194251382, 0.32823319370363074, -0.27159466581554514, 0.3282331937036308, 0.015226588925087334]"
CARE-TB-51b6269178ed47c1,a4:34:d9:9f:f0:29,-6.728409373264747,-14.319507294525204,0.661055273953409,"[8.68739476460379, -0.057685264236800544, -0.3048220027044001, -0.05768526423680061, 17.027218245040654, 0.2454474582952052, -0.3048220027044002, 0.24544745829520526, 0.014922528076178653]"
DIRECT-273CE938,fa:d0:27:3c:69:38,-7.895723091652296,-13.080117107667702,0.7223299976296392,"[6.352012128063285, 4.549088273300187, -0.17074779466427692, 4.549088273300188, 15.002800712741475, 0.08952235201516048, -0.1707477946642769, 0.08952235201516048, 0.008971898118231111]"
DIRECT-f4-HP M209 LaserJet,5e:fb:3a:a9:33:f4,-5.672904224077504,-16.506433741050383,0.6066108508132695,"[7.140591095781094, -3.730767042466424, -0.3068004160809185, -3.730767042466424, 7.550747406945915, 0.24316838756902748, -0.3068004160809185, 0.24316838756902748, 0.015069245504645775]"
FASTWEB-1-271185,e0:b9:e5:27:11:85,-1.310219278953716,-1.2895588779058462,0.6159351477247154,"[2.2824171219553726, 2.244817164598436, -0.09547965737188355, 2.244817164598436, 2.312600052591255, -0.09783524845363724, -0.09547965737188355, -0.09783524845363724, 0.004141485120803863]"
HANDHY,4e:3a:ff:83:95:3e,-0.15356775374959822,-6.664592676977445,0.5137564894097125,"[14.724759315702007, 13.275074406249027, -0.380795245926451, 13.275074406249027, 28.01171640920005, -0.16362301575031124, -0.3807952459264509, -0.1636230157503112, 0.01573976393527971]"
HANDHY,4e:3b:ff:83:95:3f,-2.6424057021628133,-10.103350733089123,0.5701174951129369,"[22.031594414223253, 22.50920490824255, -0.5874129370165436, 22.50920490824255, 40.737864366401624, -0.38581919470684095, -0.5874129370165436, -0.3858191947068409, 0.01906153450772344]"
HANDHY,4e:46:ff:83:95:4a,-5.7665706104105885,-16.70936486009945,0.6089408757261062,"[8.762198874913013, -3.2881534962168564, -0.3760173685573304, -3.2881534962168564, 6.571078972064629, 0.2212073225166674, -0.3760173685573304, 0.2212073225166674, 0.01780408329912463]"
HANDHY,4e:47:ff:83:95:4b,-4.4504277091501745,-17.400030483817893,0.5505257249651544,"[3.5467081344937728, -0.8585370399120714, -0.1340424617101326, -0.8585370399120714, 4.553494192770683, 0.09415303417358689, -0.1340424617101326, 0.09415303417358692, 0.0066582318263088336]"
HANDHY,4e:65:ff:83:94:69,-3.7771286469164123,-5.479291490731879,0.6883797137238287,"[5.16565730607873, 4.090788402060081, -0.15105896291969628, 4.090788402060081, 6.114146831415244, -0.07827295521431255, -0.15105896291969628, -0.07827295521431255, 0.00558880109790697]"
HANDHY,4e:66:ff:83:94:6a,-2.7993471052346806,-3.8179319413722532,0.6762386999042096,"[5.153895531956984, -1.8314284538437449, -0.20565641409525084, -1.8314284538437449, 1.2818043989426395, 0.08423883435893234, -0.20565641409525084, 0.08423883435893234, 0.00851632364905278]"
HANDHY,4e:67:ff:8e:2b:6b,0.303980748045875,-4.35233727606795,0.5403868004874641,"[5.703734924027796, -0.7983629318148594, -0.24274897610203194, -0.7983629318148594, 1.5260315281278116, 0.037766852849147055, -0.24274897610203194, 0.037766852849147055, 0.012144960132210381]"
HANDHY,4e:68:ff:8e:2b:6c,0.943456578492722,-4.793049341432771,0.47854433867154167,"[10.036236384623733, 2.4647428505894933, -0.3858799352105982, 2.4647428505894933, 3.703247516866919, -0.13679803356573056, -0.3858799352105983, -0.1367980335657306, 0.022424092408304806]"
