CellIDx, CellIDy, BSSID, SSID, AvgRSSI
1,1,aa:39:26:89:77:2d,PC_LUCA,-38.6
1,1,d4:38:9c:a3:c4:6c,Xperia XA2_2233,-36.2
1,1,ec:3e:b3:58:4e:12,Wind3 HUB-584E11,-66.3
2,1,aa:39:26:89:77:2d,PC_LUCA,-51.4
2,1,d4:38:9c:a3:c4:6c,Xperia XA2_2233,-42.8
2,1,ec:3e:b3:58:4e:12,Wind3 HUB-584E11,-63
3,1,aa:39:26:89:77:2d,PC_LUCA,-44.7
3,1,d4:38:9c:a3:c4:6c,Xperia XA2_2233,-51.2
3,1,ec:3e:b3:58:4e:12,Wind3 HUB-584E11,-60.6
4,1,aa:39:26:89:77:2d,PC_LUCA,-40.6
4,1,d4:38:9c:a3:c4:6c,Xperia XA2_2233,-51.7
4,1,ec:3e:b3:58:4e:12,Wind3 HUB-584E11,-50.9
5,1,aa:39:26:89:77:2d,PC_LUCA,-40.7
5,1,d4:38:9c:a3:c4:6c,Xperia XA2_2233,-53.6
5,1,ec:3e:b3:58:4e:12,Wind3 HUB-584E11,-51
1,2,aa:39:26:89:77:2d,PC_LUCA,-38.5
1,2,d4:38:9c:a3:c4:6c,Xperia XA2_2233,-48.2
1,2,ec:3e:b3:58:4e:12,Wind3 HUB-584E11,-61.4
2,2,aa:39:26:89:77:2d,PC_LUCA,-31.6
2,2,d4:38:9c:a3:c4:6c,Xperia XA2_2233,-47
2,2,ec:3e:b3:58:4e:12,Wind3 HUB-584E11,-58.9
3,2,aa:39:26:89:77:2d,PC_LUCA,-24.3
3,2,d4:38:9c:a3:c4:6c,Xperia XA2_2233,-58.4
3,2,ec:3e:b3:58:4e:12,Wind3 HUB-584E11,-54.3
4,2,aa:39:26:89:77:2d,PC_LUCA,-39.4
4,2,d4:38:9c:a3:c4:6c,Xperia XA2_2233,-60.6
4,2,ec:3e:b3:58:4e:12,Wind3 HUB-584E11,-53.9
5,2,aa:39:26:89:77:2d,PC_LUCA,-40.2
5,2,d4:38:9c:a3:c4:6c,Xperia XA2_2233,-60.8
5,2,ec:3e:b3:58:4e:12,Wind3 HUB-584E11,-56.6
6,2,aa:39:26:89:77:2d,PC_LUCA,-59
